Provinsi,Tingkat_kemiskinan_kota,Gini_ratio,Tingkat_penyelasaian_SD,Tingkat_penyelasaian_SMP,Tingkat_penyelasaian_SMA,Buta_huruf_15,Buta_huruf_15_minus,Buta_huruf_45,Anak_bekerja,Tingkat_setengah_pengangguran,Tenaga_kerja_formal,Kerja_informal_pertanian,Lapangan_kerja_informal,Upah_rata2_perjam,Konsumsi_kalori_perhari,Konsumsi_protein_perhari,GK_perkotaan,GK_non_makanan_kota,Tingkat_kerentanan_penduduk,kepemilikan_akta_40kebawah,Median_pendapatan_penduduk_dibawah40
ACEH,10.35,0.327,99.45,97.63,70.67,1.75,0.13,4.96,1.01,10.46,38.55,44.13,61.45,16772,2064.29996,61.16659294,646232,164956,4.69,95.12,7.35
SUMATERA UTARA,8.63,0.358,98.74,92.84,77.16,0.89,0.24,2.11,4.02,6.83,40.93,46.45,59.07,15131,2123.412624,64.65300646,615227,157137,6.53,81.5,4.61
SUMATERA BARAT,4.9,0.316,97.87,88.83,65.96,0.71,0.12,1.7,2.48,8.68,34.74,52.38,65.26,15887,2109.425617,59.24326608,668643,178321,5.24,91.73,1.55
RIAU,6.49,0.35,98.2,88.53,66.91,0.82,0.07,2.42,2.04,7.42,45.98,44.3,54.02,18626,2022.049199,59.69248578,686945,200815,5.06,84.24,2.6
JAMBI,10.48,0.376,97.62,86.57,65.85,1.9,0.18,5.14,1.57,7.46,40.02,44.76,59.98,16042,2069.511479,60.70195026,684555,166816,3.75,92.55,4.8
SUMATERA SELATAN,11.37,0.348,97.53,88.41,67.07,1.35,0.27,3.28,2.72,7.08,36.72,45.1,63.28,15978,2182.467547,65.18084353,548455,148101,4.59,90.7,11.99
BENGKULU,14.53,0.371,97.65,90.81,64.88,2.2,0.25,5.87,1.79,8.02,32.46,47.72,67.54,16501,2037.551785,60.29306667,686223,178155,3.84,93.29,6.55
LAMPUNG,8.34,0.352,98.41,90.99,62.42,2.75,0.28,6.91,2.48,6.92,28.49,55.67,71.51,13218,2002.722941,57.67450368,595992,156844,6.21,93.28,10.15
KEP. BANGKA BELITUNG,3.48,0.263,96.45,84.72,66.87,1.83,0.42,4.52,2.97,3.37,50.37,43.49,49.63,18132,2065.864231,67.57295839,836425,231249,2.16,95.91,0.1
KEP. RIAU,5.46,0.328,98.38,95.72,73.93,0.98,0.15,2.85,1.87,4.95,63.68,32.57,36.32,23528,2019.871247,64.66545077,733248,247232,4.45,94.7,1.19
DKI JAKARTA,4.61,0.412,98.58,95.4,87.71,0.31,0.08,0.68,0.61,2.71,63.12,36.82,36.88,32685,2146.865046,68.15338257,773370,238551,3.77,96.88,0.75
JAWA BARAT,7.52,0.427,99.08,89.29,67.05,1.51,0.13,3.93,1.82,5.62,45.39,48.57,54.61,19038,2115.695431,63.62160589,480785,127531,5.18,83.36,10.58
JAWA TENGAH,10.02,0.392,98.01,90.02,58.75,5.74,0.74,12.78,2.41,5.39,39.84,49.99,60.16,12604,2017.640477,59.78364929,469623,119009,3,95.55,16.14
DI YOGYAKARTA,10.64,0.468,98.91,97.06,87.92,4.85,0.22,10.34,1.69,4.76,46.62,44.19,53.38,14916,2024.44292,62.6492232,573915,161094,2.69,97.36,10.9
JAWA TIMUR,7.78,0.381,98.71,90.47,66.87,6.68,0.94,14.28,1.51,5.77,36.14,50.73,63.86,15119,2041.688615,59.96400512,499769,125139,3.16,88.68,13.18
BANTEN,5.89,0.384,97.24,92.65,66.02,1.84,0.33,4.86,1.9,4.57,52.04,42.5,47.96,23880,2270.481699,69.3146724,617527,172532,5.62,81.53,3.59
BALI,4.12,0.371,97.55,94.15,76.59,4.47,0.4,9.92,4.04,3.93,46.57,43.45,53.43,16857,2145.712905,61.36874595,530820,163784,4.04,94.62,5.47
NUSA TENGGARA BARAT,13.98,0.392,98.47,95.39,61,11.03,2.79,26.75,4,13.3,24.64,63.17,75.36,11734,2460.435052,74.81875169,501586,128090,7.86,84.91,15.92
NUSA TENGGARA TIMUR,9,0.308,92.35,83.25,38.47,5.37,1.75,12.3,5.12,12.5,24.76,52.98,75.24,13012,1974.124404,56.36386885,594016,170478,14.48,62.22,21.79
KALIMANTAN BARAT,4.63,0.334,95.13,81.82,58.4,6.04,1.46,14.92,3.19,7.21,41.23,41.39,58.77,16337,1892.26201,58.18550695,592432,146772,6.15,85.91,5.51
KALIMANTAN TENGAH,5.09,0.332,98.51,87.79,61.88,0.88,0.08,2.5,2.31,5.38,48.5,40.98,51.5,19795,2116.05278,65.00664672,557200,140978,3.47,85.62,3.31
KALIMANTAN SELATAN,4.03,0.329,94.68,87.95,67.81,1.64,0.24,4.2,2.06,6.76,42.7,43.37,57.3,18661,2188.80408,68.00869141,588472,189362,3.19,90.22,2.44
KALIMANTAN TIMUR,4.97,0.32,99.18,95.32,74,1.03,0.24,2.59,1.79,4.81,55.74,36.54,44.26,22281,1918.33505,63.00287272,772112,230245,3.46,93.76,0.6
KALIMANTAN UTARA,5.58,0.256,96.94,90.55,54.8,2.29,0.77,5.48,4.15,6.19,51,33.73,49,20320,1857.91704,59.73577066,834774,217984,6.57,93.13,0.24
SULAWESI UTARA,5.04,0.355,96.74,91.98,66.66,0.19,0.07,0.34,1.72,6.27,40.85,49.43,59.15,18335,2154.557845,68.0615836,460738,103035,5.4,89.69,12.89
SULAWESI TENGAH,9.13,0.337,97.19,88.9,53.73,1.95,0.58,4.57,3.96,7.62,32.13,49.37,67.87,15890,2001.121663,58.12425663,565994,153690,7.21,82.82,9.9
SULAWESI SELATAN,4.98,0.378,98.05,90.55,68.32,6.69,1.77,15.08,4.32,6.23,36.45,44.89,63.55,17257,2077.921276,64.17670289,443717,127538,3.78,90.33,16.75
SULAWESI TENGGARA,7.22,0.382,97.24,91.19,65.97,4.21,0.82,11.21,4.11,8.14,37.61,45.98,62.39,17542,1948.633956,60.39037503,451180,126476,4.42,87.39,20.86
GORONTALO,4.49,0.406,95.12,80.56,45.12,1.58,0.6,3.41,6.78,6.1,35.03,52.03,64.97,14289,1958.110415,57.09796687,436651,115590,5.15,92.18,22.59
SULAWESI BARAT,9.33,0.472,97.15,84.14,55.18,6.18,1.85,15.4,6.31,13.04,22.75,57.15,77.25,14774,2082.993989,61.40084138,428974,94951,7.13,91.74,23.2
MALUKU,5.9,0.309,98.98,93.65,72.08,0.6,0.31,1.19,2.87,11.8,36.7,48.04,63.3,17006,1836.681518,52.90788847,682707,187267,11.18,83.43,5.21
MALUKU UTARA,6.17,0.33,97.72,94.92,67.1,1.22,0.16,3.57,2.45,9.28,34.37,54.29,65.63,18278,1843.675706,54.75539077,573792,143872,10.28,84.71,4.88
PAPUA BARAT,7.64,0.302,93.94,87.03,57.07,2.36,0.98,5.65,2.82,12.29,39.72,38.02,60.28,24128,1879.753181,55.3205321,741776,206365,10.31,67.6,8.91
PAPUA,5.29,0.294,81.99,66.16,39.01,18.81,15.09,28.35,4.5,5.85,15.89,45.83,84.11,24097,1902.04277,45.06653005,723346,230322,6.77,42.01,14.11
